year,month,season,time_period,country_clean,state_clean,activity_group,sex,age,age_group,fatal,type_clean,injury,time_labels
2026,3,Spring,12:00-17:59,USA,CALIFORNIA,Surfing/Boardsports,Male,39,30-39,No,Unprovoked,Injuries to both legs and feet,afternoon
2026,3,Spring,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Swimming,Female,-1,Unknown,No,Unprovoked,Minor injuries,morning
2026,3,Spring,06:00-11:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,None reported damage to board,morning
2026,3,Spring,06:00-11:59,AUSTRALIA,QUEENSLAND,Diving/Snorkeling,Male,50,50-59,No,Unprovoked,Lacerations elbow and abdomen,morning
2026,1,Winter,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,No injury shark knocked man of  his board,morning
2026,1,Winter,18:00-20:59,AUSTRALIA,TASMANIA,Swimming,Female,-1,Unknown,No,Unprovoked,Puncture wounds to right knee,evening
2026,1,Winter,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,39,30-39,No,Unprovoked,Minor cuts and abrasions ,morning
2026,1,Winter,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,11,10-19,No,Unprovoked,None reported damage to board,morning
2026,1,Winter,18:00-20:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,27,20-29,No,Unprovoked,Serious Leg injuries,evening
2026,1,Winter,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,In Water,Male,12,10-19,Yes,Unprovoked,Serious leg injuries,afternoon
2026,1,Winter,06:00-11:59,USA,CALIFORNIA,Surfing/Boardsports,Male,26,20-29,No,Unprovoked,Minor puncture wounds to upper left thigh,morning
2026,1,Winter,00:00-05:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,Puncture mark to left thumb,midnight
2025,12,Winter,12:00-17:59,USA,CALIFORNIA,Swimming,Female,55,50-59,Yes,Unprovoked,Taken by shark body recovered with multiple injuries,afternoon
2025,12,Winter,06:00-11:59,USA,SONOMA COUNTY CALIFORNIA,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,Hand Injury,morning
2025,12,Winter,12:00-17:59,USA,HAWAII WEST COAST BIG ISLAND,Shark interaction,Male,24,20-29,No,Provoked,Bite wounds to thigh,afternoon
2025,11,Autumn,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Swimming,Male,26,20-29,No,Unprovoked,Serious leg injuries,morning
2025,11,Autumn,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Swimming,Female,25,20-29,Yes,Unprovoked,Not stated,morning
2025,11,Autumn,12:00-17:59,AUSTRALIA,WESTERN AUSTRALIA,Surfing/Boardsports,Male,61,60-69,No,Unprovoked,No Injury to self,afternoon
2025,11,Autumn,12:00-17:59,USA,HAWAII,Swimming,Male,-1,Unknown,No,Unprovoked,Injuries to legs,afternoon
2025,10,Autumn,18:00-20:59,AUSTRALIA,QUEENSLAND,Fishing,Male,14,10-19,No,Unprovoked,Serious abdonminal injuries,evening
2025,10,Autumn,12:00-17:59,AUSTRALIA,SOUTH AUSTRALIA,Surfing/Boardsports,Male,50,50-59,No,Unprovoked,Lacerations to calf ,afternoon
2025,9,Autumn,00:00-05:59,USA,OFF CALIFORNIA,Swimming,Male,54,50-59,No,Unprovoked,Leg and foot injury,midnight
2025,9,Autumn,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,57,50-59,Yes,Unprovoked,Both legs and arm severed,morning
2025,9,Autumn,12:00-17:59,USA,FLORIDA,Diving/Snorkeling,Male,8,0-9,No,Unprovoked,Bite to leg,afternoon
2025,8,Summer,06:00-11:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,-1,Unknown,No,Unprovoked,None sustained board severly damaged,morning
2025,8,Summer,06:00-11:59,USA,FLORIDA,Fishing,Male,-1,Unknown,No,Provoked,Laceration to right leg below the knee,morning
2025,8,Summer,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,Surfing/Boardsports,Male,9,0-9,No,Unprovoked,None sustained board severely damaged,afternoon
2025,7,Summer,06:00-11:59,AUSTRALIA,SOUTH AUSTRALIA,Boating/Paddling,Male,19,10-19,No,Unprovoked,Kayak badly damaged no injury to person,morning
2025,7,Summer,06:00-11:59,USA,FLORIDA,Surfing/Boardsports,Male,18,10-19,No,Unprovoked,Lacerations to left foot,morning
2025,7,Summer,12:00-17:59,USA,FLORIDA,Surfing/Boardsports,Male,40,40-49,No,Unprovoked,Lacerations to right arm,afternoon
2025,6,Summer,12:00-17:59,AUSTRALIA,NEW SOUTH WALES,Swimming,Male,16,10-19,No,Unprovoked,Serious bites to r bicep r wrist and r leg,afternoon
2025,6,Summer,12:00-17:59,USA,LONG ISLAND NY,Swimming,Female,20,20-29,No,Unprovoked,Lacerations to lower left foot and leg,afternoon
2025,6,Summer,12:00-17:59,USA,SOUTH CAROLINA,Swimming,Female,-1,Unknown,No,Unprovoked,Laceration to lower right leg,afternoon
2025,6,Summer,12:00-17:59,USA,SOUTH CAROLINA,Swimming,Female,12,10-19,No,Unprovoked,Laceration to lower right leg,afternoon
2025,6,Summer,12:00-17:59,USA,FLORIDA,Diving/Snorkeling,Female,9,0-9,No,Unprovoked,Right hand almost torn off,afternoon
2025,5,Spring,12:00-17:59,USA,CALIFORNIA,Surfing/Boardsports,Male,42,40-49,No,Unprovoked,No injury ,afternoon
2025,5,Spring,06:00-11:59,USA,NORTH CAROLINA,Swimming,Male,26,20-29,No,Unprovoked,Gash to lower left leg,morning
